name,bus0,bus1,carrier,x,r,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,lifetime,capital_cost,length,num_parallel,geom,v_nom,x_pu_eff,r_pu_eff,s_nom_opt,country
0,1,22,AC,8.169613898229919,1.0304592851239693,0.0003136899579343339,9760.0,True,9760.0,40139.23823492418,1.0,40.0,44.59815372764129,158.8724864207104,12.0,,380.0,5.657627353344819e-05,7.136144633822503e-06,9760.41666495877,DE
1,1,23,AC,400.0019298301513,115.65335774533494,8.922455171162605e-05,520.0,True,520.0,1554.6888048738242,1.0,40.0,45.78950709491344,177.5321654582594,2.0,,380.0,0.002770096466967807,0.0008009235300923472,520.0222803701475,DE
10,11,28,AC,5.051121432643998,0.6165035759636713,0.0007732777024409759,11030.0,True,11030.0,32365.794210555065,1.0,40.0,54.76664286527868,132.10639976927465,9.0,,380.0,3.498006532301938e-05,4.269415346008805e-06,12560.409827770802,CH
11,11,7,AC,28.53889348573308,3.711037303758239,0.0013315376369219026,2310.0,True,2310.0,16960.241507714447,1.0,40.0,145.3469281666263,186.22494722874526,2.0,,380.0,0.00019763776652169724,2.5699704319655396e-05,3037.252088298172,CH
12,12,7,AC,7.175992208656038,1.1140664158532072,0.0005053107675483179,10330.0,True,10330.0,39274.93031258827,1.0,40.0,26.830744088897763,151.98913783204043,12.0,,380.0,4.9695236902050126e-05,7.715141384024981e-06,10330.586244253693,AT
13,12,9,AC,25.15168287568541,3.06727839947383,0.0031609017222707417,4534.545478442849,True,4534.545478442849,18138.181913771397,0.7,40.0,199.50844208133293,273.0278742504384,2.6703601108033244,,380.0,0.00017418062933300145,2.124154016256115e-05,4534.615296668207,ATCZ
14,13,15,AC,8.26895894896441,1.008409627922489,0.0045918813362835756,6792.41044696211,True,6792.41044696211,27169.64178784844,0.7,40.0,137.90016311564622,188.68558083512778,4.0,,380.0,5.7264258649338024e-05,6.983446176748539e-06,9564.770935298391,NLBE
15,13,20,AC,5.624751736456791,0.6266447142131609,1.316208542125741e-06,3580.0,True,3580.0,10741.486288219148,1.0,40.0,2.9051710740844907,125.79158637042103,2.0,,380.0,3.8952574352193846e-05,4.339644835271198e-06,10245.334669154287,NL
16,13,4,AC,11.153076761706457,1.2425473411454697,6.847027798286457e-07,3580.0,True,3580.0,10741.486288219148,0.9999999999999999,40.0,2.9720225625996135,156.95379021876835,2.0,,380.0,7.72373736960281e-05,8.60489848438691e-06,6113.197068848193,NL
17,14,17,AC,21.242037380619912,2.5604587729828667,5.338052010471282e-05,4880.0,True,4880.0,15405.55270284062,1.0,40.0,29.235525775837417,193.4085991713148,7.0,,380.0,0.0001471055220264537,1.773170895417498e-05,4880.330720775208,DE
18,14,20,AC,7.010534556556425,0.8408522095771588,0.0005373608967477048,8720.0,True,8720.0,30811.10540568124,1.0,40.0,37.76444869114887,125.03749793062775,9.0,,380.0,4.854940828640183e-05,5.823076243609133e-06,8720.452411954773,DE
19,14,22,AC,11.033702573422193,1.7299962811394078,0.00023315365528425223,6960.0,True,6960.0,32507.129556452688,1.0,40.0,54.51147614674078,158.78387570128774,10.0,,380.0,7.641068264142793e-05,1.1980583664400332e-05,7018.513766304315,DE
2,1,24,AC,14.423139573873911,1.6068601107770693,1.1442256630898905e-06,3580.0,True,3580.0,10741.486288219148,1.0,40.0,8.14818531895335,114.83799074321226,2.0,,380.0,9.988323804621821e-05,1.1127840102334275e-05,3590.0879078568732,DE
20,14,25,AC,5.978668518367863,0.8314737713263118,0.00019153799982682754,6180.0,True,6180.0,21624.307922335916,1.0,40.0,38.66223369761299,150.9244238678346,10.0,,380.0,4.1403521595345315e-05,5.7581286102930186e-06,14083.437712038145,DE
21,14,27,AC,30.71928364435135,3.422384699144535,1.8460472296915965e-05,3580.0,True,3580.0,10741.486288219148,1.0,40.0,48.028018509863465,246.14253153660235,2.0,,380.0,0.0002127374213597739,2.3700725063327805e-05,3580.176384344216,DE
22,14,4,AC,0.005550738906407738,0.0,0.0005793087128093217,15340.0,True,10540.0,inf,0.8435462842242504,40.0,763.4054196971051,121.14857767339134,17.0,,380.0,3.844002012747741e-08,0.0,25050.24244025187,DE
23,15,2,AC,15.42012714809136,1.8805033107428488,0.014238841147919633,11326.955925404958,True,11326.955925404958,45307.82370161983,0.7,40.0,331.49020481726296,453.73185086841903,6.670360110803324,,380.0,0.00010678758412805652,1.3022876113177623e-05,12307.66843555113,BEFR
24,15,26,AC,29.725104100796166,3.6250126952190445,0.0014503518391093002,1138.340254961794,True,1138.340254961794,4553.361019847176,0.7,40.0,146.91458757342613,201.0556787059646,0.6703601108033241,,380.0,0.00020585252147365765,2.5103966033372884e-05,2931.8971431958867,BE
25,17,26,AC,7.4656248606139135,1.2629946466993398,0.000958435082835181,10080.0,True,10080.0,43389.95119056946,0.9999999999999999,40.0,39.764193112854464,123.99294721258907,19.0,,380.0,5.1701003189847046e-05,8.74650032340263e-06,10080.464823404762,DE
26,17,27,AC,6.044776613754312,0.7590182553060378,0.000862814599252824,14380.0,True,14380.0,49326.035718269515,1.0,40.0,53.70876526965111,174.96996868775457,15.0,,380.0,4.186133389026532e-05,5.256359108767575e-06,14380.169596608084,DE
27,17,28,AC,3.5783344491637656,0.4690955175483904,0.0036272208610237293,20040.0,True,20040.0,95542.69382679138,1.0,40.0,73.24219383831108,147.13248154525564,20.0,,380.0,2.478070948174353e-05,3.2485839165400998e-06,20040.31354077164,DE
28,17,4,AC,4.414525297155679,0.5515401228575232,0.0007132792202252505,18740.0,True,18740.0,63176.899616236304,0.9999999999999999,40.0,42.19385168050593,168.41032660799343,21.0,,380.0,3.0571504827947914e-05,3.819529936686449e-06,18740.24611161307,DE
29,18,22,AC,22.768104145418928,2.53656454735771,0.0015938302927239925,3580.0,True,3580.0,10741.486288219148,1.0,40.0,141.2761690264952,181.00930961180995,2.0,,380.0,0.00015767385142256875,1.756623647754647e-05,3580.077811458821,DE
3,1,29,AC,8.741831490358123,1.3211598945663174,0.0006405836932635158,6700.0,True,6700.0,37029.86062517654,1.0,40.0,49.65579515524169,114.47867917504722,10.0,,380.0,6.053899924070722e-05,9.149306749074221e-06,6700.2614207389315,DE
30,18,23,AC,3.23068282636221,0.36604373306194166,0.0012726327599907566,19200.0,True,19200.0,69112.98414393637,1.0,40.0,49.94100063361369,132.19126420601577,14.0,,380.0,2.2373149767051317e-05,2.5349288993209255e-06,19200.108903015924,DE
31,18,27,AC,5.542690215650138,0.6733343494363494,0.0008782027369432737,13340.0,True,13340.0,55403.45559186718,1.0,40.0,42.77769979414267,151.47172115317002,14.0,,380.0,3.838428127181536e-05,4.6629802592544975e-06,13340.383170554223,DE
32,18,6,AC,52.88713413313811,5.992272421725852,3.040611445698416e-08,3840.0,True,3840.0,11781.486288219148,1.0,40.0,0.9131153761260948,434.8994065156385,3.0,,380.0,0.0003662543915037265,4.14977314523951e-05,3853.479407304744,PL
33,18,9,AC,30.205707375206625,3.36517259665586,0.00012248494959927274,3580.0,True,3580.0,14320.0,1.0,40.0,45.275009760570605,241.03075079764668,2.0,,380.0,0.00020918079899727578,2.3304519367422854e-05,3580.20008162483,CZ
34,19,8,AC,10.588155210596678,1.4142879984571588,6.510199072385699e-06,4900.0,True,4900.0,16021.486288219148,1.0,40.0,11.050268883818566,185.21831019500382,5.0,,380.0,7.332517458861965e-05,9.794238216462318e-06,7797.258726086512,DK
35,2,26,AC,30.63399261416365,3.7568360959820977,2.9405379483995726e-06,6930.0,True,6930.0,16981.48628821915,0.9999999999999998,40.0,9.08884680478701,424.71744952123356,5.0,,380.0,0.00021214676325598096,2.601687047079015e-05,6930.95477229305,FR
36,2,28,AC,1085.0569971221958,313.7240548443959,1.8476332490592719e-09,520.0,True,520.0,2080.0,1.0,40.0,0.3432607393578214,482.174226620166,1.0,,380.0,0.007514245132425179,0.0021726042579251793,543.7651861229525,FR
37,20,25,AC,19.328529972532017,6.113839818540019,0.0005122197098046995,3380.0,True,3380.0,13992.199243864416,1.0,40.0,39.89722516607208,100.02499440493455,11.0,,380.0,0.0001338540856823547,4.2339610931717585e-05,4015.142569493554,DE
38,20,4,AC,17.124555499844337,2.186532392872278,0.00028616427231071867,5140.0,True,5140.0,20069.619117462094,0.9999999999999999,40.0,38.72400851807023,170.72400982556027,7.0,,380.0,0.00011859110456955912,1.5142191086373116e-05,5140.264824948519,DE
39,21,3,AC,84.89921277808162,10.353562533912394,0.0059849635981546155,3396.205223481055,True,3396.205223481055,13584.82089392422,0.7,40.0,504.3793062389404,690.2406862213894,2.0,,380.0,0.0005879446868288201,7.170057156449026e-05,3396.22780489547,DKSE
4,10,12,AC,9.612733704510783,2.9302400640865,0.0015648573008356125,7040.0,True,7040.0,27984.39848772884,1.0,40.0,47.4474694445645,100.8524433757044,17.0,,380.0,6.657017800907744e-05,2.0292521219435594e-05,7040.376590615347,AT
40,22,23,AC,12.15686794155672,1.3774271075547686,4.304154048442952e-06,7680.0,True,7680.0,23037.661381312122,1.0,40.0,73.9889192070843,198.59893829068858,6.0,,380.0,8.41888361603651e-05,9.53896888888344e-06,7680.227660986686,DE
41,22,24,AC,17.242880940218,2.0474897813531543,8.87137514536923e-05,4620.0,True,4620.0,13850.863897966796,1.0,40.0,37.61493830612514,153.440139552562,6.0,,380.0,0.00011941053282699446,1.4179292114634032e-05,4620.029111825737,DE
42,22,25,AC,385.8623933816299,111.56488204101981,8.599247912138342e-05,520.0,True,520.0,1554.6888048738242,1.0,40.0,44.38789345043871,172.09791815518932,2.0,,380.0,0.0026721772394849713,0.0007726099864336552,520.0578652035084,DE
43,22,27,AC,477.6923826170308,138.1155057611616,0.00010645551506414151,520.0,True,520.0,1554.6888048738242,1.0,40.0,55.03361854416426,213.3728465977446,2.0,,380.0,0.003308118993192734,0.0009564785717531966,520.1059281287318,DE
44,23,29,AC,13.359923172354662,1.8567104697608814,2.9756271450743433e-06,6180.0,True,6180.0,21624.307922335916,1.0,40.0,33.009116715297516,152.74981095107225,10.0,,380.0,9.252024357586331e-05,1.2858105746266491e-05,6180.366152982722,DE
45,24,25,AC,5.579247311193203,0.7035515160732587,0.0010167060115508376,9760.0,True,9760.0,32365.79421055507,1.0,40.0,48.9463301201375,108.58076393192351,12.0,,380.0,3.8637446753415535e-05,4.8722404160197975e-06,9760.216390760743,DE
46,24,8,AC,0.0012617781537955402,0.0,0.000994293444462958,37500.0,True,20500.0,inf,0.864,40.0,607.0037613702111,86.89004896967599,16.0,,380.0,8.738075857309835e-09,0.0,20500.00557179664,DE
47,26,4,AC,21.544349197666346,2.4811593116901,0.0016829390117866975,4100.0,True,4100.0,12296.175093092972,1.0,40.0,129.33203519106866,181.08299191992685,4.0,,380.0,0.00014919909416666444,1.7182543709765235e-05,4100.073401452376,DE
48,28,7,AC,7.657918497266449,0.9471674673876614,0.002241890163391977,8980.0,True,8980.0,58512.833201614834,1.0,40.0,89.68188701767686,143.33988844511725,8.0,,380.0,5.3032676573867375e-05,6.559331491604304e-06,8980.192319074218,DE
49,29,6,AC,41.1240807712945,4.581571035642756,1.6412289710739232e-05,3580.0,True,3580.0,14320.0,1.0,40.0,18.329798451094632,432.2243841675453,2.0,,380.0,0.0002847928031253082,3.172833127176424e-05,4803.91938457823,PL
5,10,27,AC,8.686457418185858,1.3096399945445165,0.005667861205742598,10610.0,True,10610.0,47912.6822592933,1.0,40.0,109.66554847907263,180.99850159742869,13.0,,380.0,6.015552228660566e-05,9.06952904809222e-06,10610.08961993534,DE
50,3,5,AC,23.453575823095935,2.860192173548285,0.007768195488849913,7361.580574443006,True,7361.580574443006,29446.322297772025,0.7,40.0,302.0508938800316,413.3163382705563,4.335180055401662,,380.0,0.0001624208852014954,1.9807425024572613e-05,7361.584137021407,SENO
51,6,9,AC,18.674009461122754,2.27731822696619,0.0059120177961709385,4534.545478442849,True,4534.545478442849,18138.181913771397,0.7,40.0,235.1403404066242,321.7396762680511,2.6703601108033244,,380.0,0.00012932139516012988,1.577090184879633e-05,7230.3726835434245,PLCZ
6,10,7,AC,7.0082064502548835,0.8584024932923477,0.0008937334262492017,9500.0,True,9500.0,33920.483015428894,1.0,40.0,59.07843973819236,130.4862692072107,9.0,,380.0,4.8533285666585064e-05,5.944615604517644e-06,9500.247137059832,DE
7,10,9,AC,31.943137517298954,3.5587359275087875,5.0877186093598526e-05,3580.0,True,3580.0,14320.0,1.0,40.0,29.87522798002262,253.80602344748715,2.0,,380.0,0.00022121286369320605,2.4644985647567782e-05,3580.90317493314,CZ
8,11,12,AC,20.42753214365666,2.491162456543494,0.005760266692238418,6792.41044696211,True,6792.41044696211,27169.64178784844,0.7,40.0,242.7554885756478,332.15990967474306,4.0,,380.0,0.00014146490404194363,1.7251817566090682e-05,6792.554864930292,CHAT
9,11,2,AC,8.654055310786301,1.0453738776831907,0.013701634351205833,19493.636435328546,True,19493.636435328546,74396.03202953332,0.7906449653897127,39.99999999999999,204.15038726438164,394.28335066274735,12.011080332409971,,380.0,5.993113096112397e-05,7.239431285894672e-06,19494.32424185289,CHFR
