name,scn_name,v_nom,carrier,x,y,country,control,generator
48810,eGon2035,1.0,H2_saltcavern,8.752043342100178,53.30072484981263,DE,Slack,48810 load shedding
49625,eGon2035,1.0,central_heat,11.57240578601486,48.132056085526024,DE,Slack,49625 central_biomass_CHP_heat
5,eGon2035,380.0,AC,8.605317995983397,60.97891064521747,NO,PV,5 others
50209,eGon2035,1.0,central_heat,11.055639407703808,49.44761419709485,DE,Slack,50209 central_biomass_CHP_heat
50219,eGon2035,1.0,central_heat,8.494411243733138,49.48497727712305,DE,Slack,50219 geo_thermal
52040,eGon2035,1.0,rural_heat,7.060978067923557,49.66108830881233,DE,Slack,52040 load shedding
52041,eGon2035,1.0,rural_heat,6.933149843735046,51.22965284232654,DE,Slack,52041 load shedding
52042,eGon2035,1.0,rural_heat,8.427323154820849,51.8759062726532,DE,Slack,52042 load shedding
52043,eGon2035,1.0,rural_heat,10.132863044148602,53.6269725212831,DE,Slack,52043 load shedding
52044,eGon2035,1.0,rural_heat,12.03717389749959,48.92338636900651,DE,Slack,52044 load shedding
52046,eGon2035,1.0,rural_heat,10.590580643527277,52.27937887067671,DE,Slack,52046 load shedding
52052,eGon2035,1.0,rural_heat,10.6146409607796,48.20692181600674,DE,Slack,52052 load shedding
52053,eGon2035,1.0,rural_heat,13.48731158143172,53.711388214081445,DE,Slack,52053 load shedding
52055,eGon2035,1.0,rural_heat,8.249374567573968,47.788083729638835,DE,Slack,52055 load shedding
52058,eGon2035,1.0,rural_heat,13.5191706147396,52.332226640573914,DE,Slack,52058 load shedding
52059,eGon2035,1.0,rural_heat,12.633847628924961,51.24599125159526,DE,Slack,52059 load shedding
52061,eGon2035,1.0,rural_heat,9.459998482437921,54.36552329331699,DE,Slack,52061 load shedding
52064,eGon2035,1.0,rural_heat,11.795017392063805,53.523358164246986,DE,Slack,52064 load shedding
52067,eGon2035,1.0,rural_heat,8.873488191600336,48.83011500560107,DE,Slack,52067 load shedding
52069,eGon2035,1.0,rural_heat,8.583142996634816,50.16733136219764,DE,Slack,52069 load shedding
52071,eGon2035,1.0,rural_heat,10.96862236665232,50.38428709307637,DE,Slack,52071 load shedding
52084,eGon2035,1.0,rural_heat,7.290125080420279,52.82459714057841,DE,Slack,52084 load shedding
52086,eGon2035,1.0,rural_heat,8.56852540547976,53.21890559091674,DE,Slack,52086 load shedding
52095,eGon2035,1.0,rural_heat,12.591460522215154,48.10512415298663,DE,Slack,52095 load shedding
6,eGon2035,380.0,AC,18.902232738057837,51.57212911875295,PL,PV,6 coal
63652,eGon2035,1.0,central_heat_store,11.57240578601486,48.132056085526024,DE,Slack,63652 load shedding
64236,eGon2035,1.0,central_heat_store,11.055639407703808,49.44761419709485,DE,Slack,64236 load shedding
64246,eGon2035,1.0,central_heat_store,8.494411243733138,49.48497727712305,DE,Slack,64246 load shedding
66067,eGon2035,1.0,rural_heat_store,7.060978067923557,49.66108830881233,DE,Slack,66067 load shedding
66068,eGon2035,1.0,rural_heat_store,6.933149843735046,51.22965284232654,DE,Slack,66068 load shedding
66069,eGon2035,1.0,rural_heat_store,8.427323154820849,51.8759062726532,DE,Slack,66069 load shedding
66070,eGon2035,1.0,rural_heat_store,10.132863044148602,53.6269725212831,DE,Slack,66070 load shedding
66071,eGon2035,1.0,rural_heat_store,12.03717389749959,48.92338636900651,DE,Slack,66071 load shedding
66073,eGon2035,1.0,rural_heat_store,10.590580643527277,52.27937887067671,DE,Slack,66073 load shedding
66079,eGon2035,1.0,rural_heat_store,10.6146409607796,48.20692181600674,DE,Slack,66079 load shedding
66080,eGon2035,1.0,rural_heat_store,13.48731158143172,53.711388214081445,DE,Slack,66080 load shedding
66082,eGon2035,1.0,rural_heat_store,8.249374567573968,47.788083729638835,DE,Slack,66082 load shedding
66085,eGon2035,1.0,rural_heat_store,13.5191706147396,52.332226640573914,DE,Slack,66085 load shedding
66086,eGon2035,1.0,rural_heat_store,12.633847628924961,51.24599125159526,DE,Slack,66086 load shedding
66088,eGon2035,1.0,rural_heat_store,9.459998482437921,54.36552329331699,DE,Slack,66088 load shedding
66091,eGon2035,1.0,rural_heat_store,11.795017392063805,53.523358164246986,DE,Slack,66091 load shedding
66094,eGon2035,1.0,rural_heat_store,8.873488191600336,48.83011500560107,DE,Slack,66094 load shedding
66096,eGon2035,1.0,rural_heat_store,8.583142996634816,50.16733136219764,DE,Slack,66096 load shedding
66098,eGon2035,1.0,rural_heat_store,10.96862236665232,50.38428709307637,DE,Slack,66098 load shedding
66111,eGon2035,1.0,rural_heat_store,7.290125080420279,52.82459714057841,DE,Slack,66111 load shedding
66113,eGon2035,1.0,rural_heat_store,8.56852540547976,53.21890559091674,DE,Slack,66113 load shedding
66122,eGon2035,1.0,rural_heat_store,12.591460522215154,48.10512415298663,DE,Slack,66122 load shedding
69914,eGon2035,1.0,Li_ion,12.634511293038392,51.24402050059509,DE,Slack,69914 load shedding
69915,eGon2035,1.0,Li_ion,13.516480464852984,52.33171162797989,DE,Slack,69915 load shedding
69920,eGon2035,1.0,Li_ion,10.616064166847572,48.205774862313675,DE,Slack,69920 load shedding
69924,eGon2035,1.0,Li_ion,10.135186180788958,53.6280966019597,DE,Slack,69924 load shedding
69925,eGon2035,1.0,Li_ion,6.933520850520119,51.228756172041535,DE,Slack,69925 load shedding
69929,eGon2035,1.0,Li_ion,10.593348480025949,52.27692953479407,DE,Slack,69929 load shedding
69931,eGon2035,1.0,Li_ion,8.582074502947535,50.1678520141694,DE,Slack,69931 load shedding
69958,eGon2035,1.0,Li_ion,12.594206153209804,48.099331669142,DE,Slack,69958 load shedding
69975,eGon2035,1.0,Li_ion,12.037059374806423,48.924935987576745,DE,Slack,69975 load shedding
7,eGon2035,380.0,AC,10.5735431,48.6033616,DE,PV,7 biomass
70054,eGon2035,1.0,Li_ion,8.569905677655282,53.2182911898694,DE,Slack,70054 load shedding
70058,eGon2035,1.0,Li_ion,8.870995608891182,48.831591741021704,DE,Slack,70058 load shedding
70075,eGon2035,1.0,Li_ion,8.425015590080418,51.87547796449353,DE,Slack,70075 load shedding
70154,eGon2035,1.0,Li_ion,13.493698478615954,53.71693173761795,DE,Slack,70154 load shedding
70226,eGon2035,1.0,Li_ion,8.247800215192791,47.779701658868056,DE,Slack,70226 load shedding
70304,eGon2035,1.0,Li_ion,9.464296864228015,54.373183055191475,DE,Slack,70304 load shedding
70310,eGon2035,1.0,Li_ion,7.294362829901326,52.81691660315113,DE,Slack,70310 load shedding
70399,eGon2035,1.0,Li_ion,10.970305053573865,50.38121080271372,DE,Slack,70399 load shedding
70512,eGon2035,1.0,Li_ion,7.0608320665534,49.66028293096435,DE,Slack,70512 load shedding
70797,eGon2035,1.0,Li_ion,11.798068139417786,53.52373366775933,DE,Slack,70797 load shedding
70798,eGon2035,1.0,CH4,9.809392,50.787905,DE,Slack,70798 CH4_NG
70812,eGon2035,1.0,H2_grid,9.809392,50.787905,DE,Slack,70812 load shedding
70813,eGon2035,1.0,central_heat,10.545171748480284,48.16241288450093,DE,Slack,70813 central_biomass_CHP_heat
70814,eGon2035,1.0,central_heat,8.1023300033675,47.84120577978752,DE,Slack,70814 central_biomass_CHP_heat
70815,eGon2035,1.0,central_heat,12.766362402867609,48.21448837030918,DE,Slack,70815 central_biomass_CHP_heat
70816,eGon2035,1.0,central_heat,8.981197251088261,48.81352063535352,DE,Slack,70816 central_biomass_CHP_heat
70818,eGon2035,1.0,central_heat,12.278123807113802,48.907462171262914,DE,Slack,70818 central_biomass_CHP_heat
70819,eGon2035,1.0,central_heat,8.546530065617707,50.16892058351577,DE,Slack,70819 central_biomass_CHP_heat
70820,eGon2035,1.0,central_heat,11.028974512369803,50.29790299112625,DE,Slack,70820 central_biomass_CHP_heat
