name,bus0,bus1,carrier,x,r,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,lifetime,capital_cost,length,num_parallel,geom,v_nom,x_pu_eff,r_pu_eff,s_nom_opt,country
0,1,22,AC,8.169807786032349,1.030483740806793,0.0003136825133703759,9760.0,True,9760.0,40139.23823492418,1.0,40.0,44.59815372764129,158.8724864207104,12.0,,380.0,5.657761624676142e-05,7.1363139945068776e-06,9760.0885472811,DE
1,1,23,AC,400.50599870376465,115.79910018661027,8.911225546781073e-05,520.0,True,520.0,1554.6888048738242,1.0,40.0,45.78950709491344,177.5321654582594,2.0,,380.0,0.0027735872486410293,0.0008019328267770795,520.1869374371868,DE
10,11,28,AC,5.05112302856251,0.6165037707500138,0.0007732774581214072,11030.0,True,11030.0,32365.794210555065,1.0,40.0,54.76664286527868,132.10639976927465,9.0,,380.0,3.4980076375086635e-05,4.269416694944694e-06,12554.251191957042,CH
11,11,7,AC,28.522856223799874,3.708951908355154,0.0013322863073106494,2310.0,True,2310.0,16960.241507714447,1.0,40.0,145.3469281666263,186.22494722874526,2.0,,380.0,0.00019752670515096866,2.568526252323514e-05,3040.3497082755935,CH
12,12,7,AC,7.175929210813244,1.1140566354940755,0.0005053152036969143,10330.0,True,10330.0,39274.93031258827,1.0,40.0,26.830744088897763,151.98913783204043,12.0,,380.0,4.969480062890058e-05,7.715073653006064e-06,10330.152506063481,AT
13,12,9,AC,25.15160998426987,3.0672695102768133,0.0031609108828215397,4534.545478442849,True,4534.545478442849,18138.181913771397,0.7,40.0,199.50844208133293,273.0278742504384,2.6703601108033244,,380.0,0.0001741801245448052,2.124147860302502e-05,4534.567513424363,ATCZ
14,13,15,AC,8.257206045640784,1.0069763470293638,0.0045984171956433405,6792.41044696211,True,6792.41044696211,27169.64178784844,0.7,40.0,137.90016311564622,188.68558083512778,4.0,,380.0,5.718286735208299e-05,6.9735204087906076e-06,9583.024557200004,NLBE
15,13,20,AC,5.613160565785167,0.6253533601813309,1.3189265113825308e-06,3580.0,True,3580.0,10741.486288219148,1.0,40.0,2.9051710740844907,125.79158637042103,2.0,,380.0,3.88723030871549e-05,4.330701940313926e-06,10265.56014523609,NL
16,13,4,AC,11.211584350578581,1.2490655827520816,6.811296622844025e-07,3580.0,True,3580.0,10741.486288219148,0.9999999999999999,40.0,2.9720225625996135,156.95379021876835,2.0,,380.0,7.76425509042838e-05,8.650038661718016e-06,6095.722101024441,NL
17,14,17,AC,21.240692795100394,2.560296700215185,5.338389921645128e-05,4880.0,True,4880.0,15405.55270284062,1.0,40.0,29.235525775837417,193.4085991713148,7.0,,380.0,0.00014709621049238499,1.7730586566587153e-05,4880.0447685477675,DE
18,14,20,AC,7.0106459583329315,0.8408655712443998,0.0005373523578828302,8720.0,True,8720.0,30811.10540568124,1.0,40.0,37.76444869114887,125.03749793062775,9.0,,380.0,4.855017976684856e-05,5.823168775930746e-06,8720.135478203887,DE
19,14,22,AC,11.02581885518334,1.7287601771984136,0.00023332036559835782,6960.0,True,6960.0,32507.129556452688,1.0,40.0,54.51147614674078,158.78387570128774,10.0,,380.0,7.635608625473228e-05,1.1972023387800648e-05,6967.777182478236,DE
2,1,24,AC,14.421283535086417,1.6066533323099814,1.144372926487575e-06,3580.0,True,3580.0,10741.486288219148,1.0,40.0,8.14818531895335,114.83799074321226,2.0,,380.0,9.98703845920112e-05,1.1126408118490176e-05,3589.614864840038,DE
20,14,25,AC,5.9826823782180405,0.83203199247153,0.00019140949447777418,6180.0,True,6180.0,21624.307922335916,1.0,40.0,38.66223369761299,150.9244238678346,10.0,,380.0,4.1431318408712195e-05,5.761994407697576e-06,14066.365474620285,DE
21,14,27,AC,30.719440288567288,3.4224021506181446,1.8460378163488347e-05,3580.0,True,3580.0,10741.486288219148,1.0,40.0,48.028018509863465,246.14253153660235,2.0,,380.0,0.00021273850615351309,2.3700845918408204e-05,3580.015009506519,DE
22,14,4,AC,0.005553139313155968,0.0,0.0005790583001210897,15340.0,True,10540.0,inf,0.8435462842242504,40.0,763.4054196971051,121.14857767339134,17.0,,380.0,3.845664344290836e-08,0.0,25044.59317061714,DE
23,15,2,AC,15.408440165496822,1.879078068963027,0.014249641013894046,11326.955925404958,True,11326.955925404958,45307.82370161983,0.7,40.0,331.49020481726296,453.73185086841903,6.670360110803324,,380.0,0.00010670664934554586,1.3013006017749494e-05,12317.736148500004,BEFR
24,15,26,AC,29.676937675905222,3.6191387409640514,0.0014527057970441383,1138.340254961794,True,1138.340254961794,4553.361019847176,0.7,40.0,146.91458757342613,201.0556787059646,0.6703601108033241,,380.0,0.0002055189589744129,2.506328767980645e-05,2935.668933672929,BE
25,17,26,AC,7.465647578230729,1.2629984899447426,0.000958432166361998,10080.0,True,10080.0,43389.95119056946,0.9999999999999999,40.0,39.764193112854464,123.99294721258907,19.0,,380.0,5.170116051406322e-05,8.746526938675503e-06,10080.154281393732,DE
26,17,27,AC,6.044738192724374,0.7590134309320411,0.0008628200833986202,14380.0,True,14380.0,49326.035718269515,1.0,40.0,53.70876526965111,174.96996868775457,15.0,,380.0,4.186106781665079e-05,5.256325698975354e-06,14380.16214981316,DE
27,17,28,AC,3.5783075890557465,0.46909199636934706,0.0036272480882929663,20040.0,True,20040.0,95542.69382679138,1.0,40.0,73.24219383831108,147.13248154525564,20.0,,380.0,2.4780523469915143e-05,3.2485595316436777e-06,20040.20149905407,DE
