name,scn_name,bus,carrier,e_nom,e_nom_extendable,e_nom_max,e_initial,e_cyclic,capital_cost,e_nom_opt
66067 rural_heat_store,eGon2035,66067,rural_heat_store,0.0,True,inf,0.0,False,28.2849623779571,10526.984819394382
66068 rural_heat_store,eGon2035,66068,rural_heat_store,0.0,True,inf,0.0,False,28.2849623779571,46872.64125214135
66069 rural_heat_store,eGon2035,66069,rural_heat_store,0.0,True,inf,0.0,False,28.2849623779571,11456.56968794906
66070 rural_heat_store,eGon2035,66070,rural_heat_store,0.0,True,inf,0.0,False,28.2849623779571,13209.600116868412
66071 rural_heat_store,eGon2035,66071,rural_heat_store,0.0,True,inf,0.0,False,28.2849623779571,19196.020560969067
66073 rural_heat_store,eGon2035,66073,rural_heat_store,0.0,True,inf,0.0,False,28.2849623779571,7630.59278662564
66074 rural_heat_store,eGon2035,66074,rural_heat_store,0.0,True,inf,0.0,False,28.2849623779571,6930.767092025597
66079 rural_heat_store,eGon2035,66079,rural_heat_store,0.0,True,inf,0.0,False,28.2849623779571,28436.07312023418
66080 rural_heat_store,eGon2035,66080,rural_heat_store,0.0,True,inf,0.0,False,28.284962377957104,2952.3361668278294
66082 rural_heat_store,eGon2035,66082,rural_heat_store,0.0,True,inf,0.0,False,28.2849623779571,7239.8978560006435
66085 rural_heat_store,eGon2035,66085,rural_heat_store,0.0,True,inf,0.0,False,28.2849623779571,18037.93848987443
66086 rural_heat_store,eGon2035,66086,rural_heat_store,0.0,True,inf,0.0,False,28.284962377957104,18530.597251783318
66091 rural_heat_store,eGon2035,66091,rural_heat_store,0.0,True,inf,0.0,False,28.2849623779571,2364.855314859653
66094 rural_heat_store,eGon2035,66094,rural_heat_store,0.0,True,inf,0.0,False,28.284962377957097,20956.776148652632
66096 rural_heat_store,eGon2035,66096,rural_heat_store,0.0,True,inf,0.0,False,28.2849623779571,41433.64210565014
66101 rural_heat_store,eGon2035,66101,rural_heat_store,0.0,True,inf,0.0,False,28.2849623779571,16137.970029142123
66111 rural_heat_store,eGon2035,66111,rural_heat_store,0.0,True,inf,0.0,False,28.2849623779571,4268.907245726835
