name,scn_name,v_nom,carrier,x,y,country,control,generator
0,eGon2035,380.0,AC,11.991186781679922,48.44114940280227,DE,Slack,0 biomass
1,eGon2035,380.0,AC,5.55144817647059,52.374286058823536,NL,PV,1 nuclear
10,eGon2035,380.0,AC,13.675938987831467,53.739389696464166,DE,PV,10 biomass
11,eGon2035,380.0,AC,7.256250263683293,52.98145861873574,DE,PV,11 biomass
12,eGon2035,380.0,AC,13.60427444018489,47.549498217049525,AT,PV,12 biomass
13,eGon2035,380.0,AC,8.5311655,49.853019100000004,DE,PV,13 biomass
14,eGon2035,380.0,AC,4.798653786209867,50.74318840599844,BE,PV,14 coal
15,eGon2035,380.0,AC,12.232352667682624,51.29263951728473,DE,PV,15 biomass
16,eGon2035,380.0,AC,-6.097540942585511,54.6687787490669,GB,Slack,16 lignite
17,eGon2035,380.0,AC,9.73224872983087,55.99042991134832,DK,PV,17 coal
18,eGon2035,380.0,AC,13.6434353,52.116284400000005,DE,PV,18 biomass
19,eGon2035,380.0,AC,12.2839744286048,55.50990254373553,DK,Slack,19 coal
2,eGon2035,380.0,AC,16.277634034498558,61.35776074926747,SE,PV,2 nuclear
20,eGon2035,380.0,AC,6.944190195253231,51.27839595785802,DE,PV,20 biomass
21,eGon2035,380.0,AC,8.348429000000001,53.253598000000004,DE,PV,21 biomass
22,eGon2035,380.0,AC,8.918671830968854,48.661088426695464,DE,PV,22 biomass
23,eGon2035,380.0,AC,9.169763241568962,51.318874863842034,DE,PV,23 biomass
24,eGon2035,380.0,AC,10.96961590514711,50.843734598773615,DE,PV,24 biomass
25,eGon2035,380.0,AC,10.290234622940284,52.85022582717519,DE,PV,25 biomass
26,eGon2035,380.0,AC,6.812405900000001,49.723623100000005,DE,PV,26 biomass
27,eGon2035,380.0,AC,11.812873723040605,53.42460616957182,DE,PV,27 biomass
27412,eGon2035,380.0,AC,11.4928,48.781223600000004,DE,PQ,
27799,eGon2035,380.0,AC,11.407301,48.7957595,DE,PQ,
28,eGon2035,380.0,AC,8.043521022224319,52.14661007091326,DE,PV,28 biomass
28753,eGon2035,380.0,AC,11.3937592,48.7083403,DE,PQ,
29,eGon2035,380.0,AC,10.685142200000001,48.7764663,DE,PV,29 biomass
3,eGon2035,380.0,AC,3.1555151587908,46.808684469407666,FR,PV,3 nuclear
31613,eGon2035,380.0,AC,11.452511465755114,48.73858705493394,DE,PV,31613 run_of_river
31638,eGon2035,380.0,AC,11.40425476979368,48.79420570373853,DE,PV,31638 biomass
31672,eGon2035,380.0,AC,11.486839694101205,48.743423219600295,DE,PV,31672 industrial_biomass_CHP
37184,eGon2035,110.0,dsm,11.452511465755114,48.73858705493394,DE,Slack,37184 load shedding
37226,eGon2035,110.0,dsm,11.40425476979368,48.79420570373853,DE,Slack,37226 load shedding
37280,eGon2035,110.0,dsm,11.486839694101205,48.743423219600295,DE,Slack,37280 load shedding
4,eGon2035,380.0,AC,-1.9756813895020315,53.282087722259334,GB,Slack,4 coal
41276,eGon2035,110.0,dsm,8.554578771035567,49.766541290736384,DE,Slack,41276 load shedding
41278,eGon2035,110.0,dsm,9.309682108530358,51.45722292469853,DE,Slack,41278 load shedding
41288,eGon2035,110.0,dsm,9.09609177402665,48.59415536179311,DE,Slack,41288 load shedding
41526,eGon2035,110.0,dsm,10.240672503044767,52.50843192512998,DE,Slack,41526 load shedding
41530,eGon2035,110.0,dsm,9.768304356326116,54.032570586873845,DE,Slack,41530 load shedding
41538,eGon2035,110.0,dsm,11.670334303585474,53.735236355894806,DE,Slack,41538 load shedding
41544,eGon2035,110.0,dsm,12.767515553334835,51.209768556893096,DE,Slack,41544 load shedding
42514,eGon2035,110.0,dsm,13.386365060264339,53.74713404266421,DE,Slack,42514 load shedding
42658,eGon2035,110.0,dsm,11.852641764943195,49.00703031232159,DE,Slack,42658 load shedding
42660,eGon2035,110.0,dsm,6.964825142533073,49.65733010940243,DE,Slack,42660 load shedding
42664,eGon2035,110.0,dsm,8.446658948959195,52.04666875205089,DE,Slack,42664 load shedding
42704,eGon2035,110.0,dsm,7.303889984725696,52.77279690825224,DE,Slack,42704 load shedding
42708,eGon2035,110.0,dsm,11.02619038509108,50.665037020744364,DE,Slack,42708 load shedding
42816,eGon2035,110.0,dsm,8.527223219952178,53.22597825782143,DE,Slack,42816 load shedding
43542,eGon2035,110.0,dsm,10.633595406022026,48.290283989651066,DE,Slack,43542 load shedding
43544,eGon2035,110.0,dsm,7.07671461875354,51.24651110094811,DE,Slack,43544 load shedding
43546,eGon2035,110.0,dsm,13.164766554440329,52.35342338158549,DE,Slack,43546 load shedding
43556,eGon2035,110.0,dsm,12.594206153209804,48.099331669142,DE,Slack,43556 load shedding
43742,eGon2035,110.0,dsm,8.247800215192791,47.779701658868056,DE,Slack,43742 load shedding
48639,eGon2035,1.0,CH4,13.60427444018489,47.549498217049525,AT,Slack,48639 CH4
48640,eGon2035,1.0,CH4,4.798653786209867,50.74318840599844,BE,Slack,48640 CH4
48641,eGon2035,1.0,CH4,8.207947631625533,46.82343065666129,CH,Slack,48641 load shedding
48642,eGon2035,1.0,CH4,15.238200383770577,49.84255074731976,CZ,Slack,48642 CH4
48643,eGon2035,1.0,CH4,9.73224872983087,55.99042991134832,DK,Slack,48643 CH4
48644,eGon2035,1.0,CH4,3.1555151587908,46.808684469407666,FR,Slack,48644 CH4
48645,eGon2035,1.0,CH4,-6.097540942585511,54.6687787490669,GB,Slack,48645 CH4
48646,eGon2035,1.0,CH4,6.130510690868267,49.6773404049915,LU,Slack,48646 CH4
48647,eGon2035,1.0,CH4,5.55144817647059,52.374286058823536,NL,Slack,48647 CH4
48648,eGon2035,1.0,CH4,8.605317995983397,60.97891064521747,NO,Slack,48648 CH4
48649,eGon2035,1.0,CH4,18.902232738057837,51.57212911875295,PL,Slack,48649 CH4
48650,eGon2035,1.0,CH4,16.277634034498558,61.35776074926747,SE,Slack,48650 CH4
48652,eGon2035,1.0,CH4,41.0,55.0,RU,Slack,48652 CH4
48653,eGon2035,1.0,H2_saltcavern,13.516340864229338,52.087844625430165,DE,Slack,48653 load shedding
