,37184 dsm,37226 dsm,37280 dsm,41276 dsm,41278 dsm,41288 dsm,41526 dsm,41530 dsm,41538 dsm,41544 dsm,42514 dsm,42658 dsm,42660 dsm,42664 dsm,42704 dsm,42708 dsm,42816 dsm,43542 dsm,43544 dsm,43546 dsm,43556 dsm,43742 dsm,48639 CH4,48640 CH4,48642 CH4,48643 CH4,48644 CH4,48645 CH4,48647 CH4,48649 CH4,48650 CH4,48653 H2_underground,48693 H2_underground,48695 H2_underground,48697 H2_underground,48700 H2_underground,48701 H2_underground,48706 H2_underground,48717 H2_underground,48718 H2_underground,48763 H2_underground,48785 H2_underground,48810 H2_underground,63652 central_heat_store,63961 central_heat_store,63963 central_heat_store,64236 central_heat_store,64835 central_heat_store,65466 central_heat_store,65980 central_heat_store,66067 rural_heat_store,66068 rural_heat_store,66069 rural_heat_store,66070 rural_heat_store,66071 rural_heat_store,66073 rural_heat_store,66074 rural_heat_store,66079 rural_heat_store,66080 rural_heat_store,66082 rural_heat_store,66085 rural_heat_store,66086 rural_heat_store,66091 rural_heat_store,66094 rural_heat_store,66096 rural_heat_store,66101 rural_heat_store,66111 rural_heat_store,66113 rural_heat_store,66122 rural_heat_store,67211 rural_heat_store,67676 rural_heat_store,69384 rural_heat_store,69914 battery_storage,69915 battery_storage,69920 battery_storage,69924 battery_storage,69925 battery_storage,69929 battery_storage,69931 battery_storage,69958 battery_storage,69975 battery_storage,70054 battery_storage,70058 battery_storage,70134 battery_storage,70154 battery_storage,70226 battery_storage,70292 battery_storage,70310 battery_storage,70372 battery_storage,70512 battery_storage,70797 battery_storage,76818 battery_storage,76942 battery_storage,77068 battery_storage,77069 CH4,77083 H2_overground,77110 central_heat_store,77111 central_heat_store,77112 central_heat_store,77113 central_heat_store,77114 central_heat_store,77115 central_heat_store,77116 central_heat_store,77117 central_heat_store,77118 central_heat_store,77119 central_heat_store,77120 central_heat_store,77121 central_heat_store,77122 central_heat_store,77123 central_heat_store,77124 central_heat_store,77125 central_heat_store,77126 central_heat_store,77127 central_heat_store,77128 central_heat_store,77129 central_heat_store
15,0.40618567873436173,0.6662566581806123,0.2060958487846986,0.5145878535866262,0.906202198990893,0.6516393092816558,59.20159958878747,43.615174280069674,4.018762357069941,1.6782369266301496,8.275140317577069,0.6704434985371907,0.6009099918523069,0.6412412638449214,1.010232015459305,1.0400409402768398,1.1685107082418422,0.5720982876978289,0.5186957519403547,2.7923535225442886,0.7534629779077753,0.6896630121796449,44747576.3006106,3423237.0285031293,7587070.211477592,2002489.651539563,33327061.999364983,17693363.384204417,40001745.47616208,16350603.563869106,1520537.8342467595,5.282933730792296,5.293837180694593,5.9699970489244105,1653.8461722767256,46277.54533070011,5927.854873441511,61955.996926435546,5.1210028553361635,7.236227623547694,7.890221683405917,6.425799565490672,48.672220234005245,1145.1815118017341,14.297736336628942,1.3473401215351821,1219.599363437769,979.6133811954531,1156.7636420119768,1139.1796172415225,1426.543788446041,8781.95934552444,2169.8527223877522,2443.964086635979,3128.230522391351,586.4940974023356,1356.4308315771311,4570.334115963214,543.4584480721752,1010.7844291520231,3422.935634714761,3582.7100677717735,436.8118064462778,3351.2122877455745,8118.003219330117,3188.9379263727296,808.5995953323236,1762.5734108762601,881.8673008698192,7.405619507608968,82.55101868095082,43.80889790876141,43968.68132707402,46753.938227700506,64968.483352572825,39315.29044424648,132036.0458352372,17543.578355055062,115732.23378039432,13200.873239991508,43272.55649532483,25370.69955199956,49212.420212452285,36511.95568385347,8032.102773609631,13767.154058851456,39265.291220784944,11240.961621464763,32993.38721205561,21348.487030727818,7056.532704807898,767.9438253460078,1058.6431374601661,67.09845807055733,101693297.16269763,38109.91651917756,1017.9139249257186,961.018745548929,1003.6786780310995,997.8415591104504,17.979105973085993,876.5095123764667,1023.5966597049642,1037.4072477757693,952.3923664928332,22.40328681458738,957.2238028186889,1039.3657409738455,17.31251068375331,943.8775824833159,1013.3692122461807,976.0720618627445,245.68167919534196,1042.540143238551,1267.3998615130151,1167.7467479961174
16,0.408433266805112,0.6685653242759776,0.20722570737521848,0.5161178087601024,0.907727668846945,0.6530134101478227,59.20576067213574,43.61730373957478,4.022872581964198,1.680114750676565,8.277761663144378,0.6721154524014311,0.6022867748952726,0.6424804793863482,1.0115249595819016,1.0416075743205677,1.1699887290344526,0.5736125988396881,0.5200519705403847,2.7944359857294923,0.7549599441512298,0.6911473676646037,44719964.99278848,3375882.8733783625,7527846.648056527,1999857.6081993952,33084015.14143546,17750404.4594193,39905513.36753852,16269720.681900095,1513868.1823339106,4.891366390376088,5.019377234219917,5.785152702777381,2.5561491767264166,30851.76286550528,1.1277842751883602,41304.158897378125,4.461168439164966,4.9669602607068555,7.56470757101023,6.284519775536107,32.57325647962226,1089.5308036176077,13.661707480695181,1.3644694311730128,1168.433066803517,926.4868830960452,1103.3559571214198,1091.0424916748,0.036718298802026844,0.05513730718603477,0.04661869001418559,0.052029149612832885,0.06745511134093649,0.06017119696545702,0.04538148486760541,0.07144244764963381,0.029071736866750773,0.03422040068266029,0.058641122761540536,0.06510463899853963,0.025906782544109472,0.05567958459046096,0.06403657558088893,0.06773630284231093,0.029969873415380734,0.04694724096214305,0.04409712581374058,0.0919000479501925,0.041873551875838896,0.05014435564199384,42176.16135598444,44839.760835032976,62341.22080852555,37675.73881070672,126933.38074799508,16825.778648263025,111075.59692824422,12654.307988999073,41472.42423110373,24327.876614964396,47289.72517040686,34879.48459445167,7678.886094985622,13205.1774698177,37623.79039069359,10883.740099463845,32115.020104498293,20455.707859058344,6751.513642831309,740.7471101504892,1020.1046982219361,64.81662774627556,101902860.20640208,13259.780956743753,971.0976092241655,908.4815530651312,956.1598945348413,954.9090426096597,17.95186287315384,816.965071944047,982.0487845856951,988.8804977046198,901.7086855879858,22.510839670942026,904.7979689927715,989.916331069117,17.615828148324418,891.9663316254201,961.3710025534141,921.4998574454722,229.15446938518366,990.6895467128431,1111.9132631105595,1109.9447499480673
17,0.41614012159019725,0.6765843111844513,0.20903694003472859,0.5229046811647997,0.9145059307635784,0.6592865422697131,59.2124196985767,43.62376569182035,4.033088008949332,1.6864787486936257,8.28559914538392,0.6791726719983348,0.6092294140454939,0.6494101830052907,1.0185185224965754,1.0477879925433582,1.1767955691146554,0.5801053026376035,0.5268232493994829,2.800765349540452,0.7620088689219707,0.6987904098858703,44701494.76251082,3343216.4172337423,7496954.863750327,1999720.0702781412,32916348.709651638,17845532.843213856,39855821.13516884,16228333.081321014,1507960.3907255207,4.526608483649515,4.76663359756905,5.61625294662118,2.1357344146659454,15426.036828314795,0.8608968040899018,20652.377113700855,3.8333057986930377,2.7395760241209692,7.262485350718902,6.153724686831773,16.522540754433955,1035.4833114837313,12.877495708785737,1.3791308385679948,1112.050405694293,874.2790494957802,1047.2817453738594,1040.6483473265146,0.13839005241224447,0.25194500837551753,0.20214905028674088,0.1776255529447293,0.17367193285730628,0.20963550448510052,0.16270647982686687,0.2142527009936749,0.11468949412845628,0.11906667207295686,0.20843311015268906,0.23394118506189698,0.11191951236642747,0.21351208935234398,0.25876030672105965,0.1975894861220378,0.1507139242536799,0.17306788974725318,0.1382885538505279,0.16237176642984508,0.15670555156461327,0.17918060670501776,43816.5292795885,46644.59788549514,64749.869272430136,39169.57113617362,131870.5347190412,17486.810347281804,115421.76751782617,13141.871008845497,43095.16869879816,25326.87786763739,49085.24161226585,36438.60113273686,7987.301871683008,13727.405457056248,39104.67758061922,11305.037747677765,33353.98768521232,21292.179944572435,7030.24384018705,769.9005721056683,1060.027925871731,67.0972055120312,102175080.69987188,24649.282133671055,918.6838990797243,852.5827877834364,905.2781961183663,904.3060277238244,18.017481331563722,760.1463036333522,929.6279893986211,937.4631485513405,854.2646766356397,20.811929057029133,855.714313646072,937.9029976377102,16.869697396262175,845.3068524931971,909.9616105835927,868.2504037631513,215.66872806072513,937.0862171427323,859.5128030928697,1061.4607250079507
18,0.4242473597718874,0.6843491458148616,0.21551859019558048,0.5284163348758145,0.9202763252129567,0.6646427547097054,59.21810341693281,43.62914768737303,4.040091422124111,1.6918250094536484,8.293509057396756,0.6847899597778458,0.6165507880104706,0.656465859767107,1.0258482597644387,1.0546710059667863,1.182416868170089,0.5856933057501901,0.5321750134201981,2.806186808170345,0.7696617787630274,0.7067488530219497,44667528.638972804,3281612.007544664,7450997.931357159,1993624.755292061,32645016.3737253,17899922.63332259,39753941.82856502,16134228.683926694,1498325.5243596374,4.159902919129706,4.512156092834955,5.4457893255614485,0.04013527973034871,0.30439779702630665,0.07895666275217393,0.5881258058274412,3.2029098681977506,0.5076551924167765,6.9586868405028985,6.021546720004155,0.46753995421419325,983.1594849210371,12.170065670717628,1.3900039864933846,1058.900150692437,826.2949610265215,994.338238661522,991.2424153684045,0.02209779333741505,0.03438360626921348,0.019529802293966753,0.023498191386446342,0.022693671846062323,0.026369218901573302,0.02201921871877491,0.02285895086445478,0.018634530769642395,0.018878073327985405,0.023734427477258006,0.021451462388460962,0.018413921777222758,0.020658653862938785,0.028740290159096772,0.022095921681370947,0.020950085195317426,0.02281158825510829,0.018200600953755114,0.021905637257805737,0.02686319406727541,0.025451230467051066,42125.04068904439,44841.97648728133,62289.451110765076,37677.02124170224,126945.31940052916,16825.534872081964,111040.8220159721,12642.131869091181,41443.41536481829,24365.852433441283,47218.643006936654,35020.723492076926,7662.338971353227,13209.630231642586,37597.02404324742,10869.721462462006,32111.918000409314,20464.436115167537,6760.044568649697,744.6764854197193,1024.7905365704166,64.95247019693895,102617592.03703493,0.007357479945971475,869.8971623118555,799.6644970718255,857.4775027744156,855.8962268042699,17.908506348066002,707.6253813170218,880.0716050869211,889.2321573655096,807.773211067826,20.60385576004327,813.040022706428,888.3938950347875,16.85316497408901,801.408605329261,861.2875222387958,818.612634063689,203.41429082855413,886.9349903997709,617.706757085255,1014.3491906692898
19,0.45729673526890124,0.7334568238828351,0.23395217410946786,0.5625361179520036,0.9633258300974784,0.702605868560207,59.25183599556743,43.6757267687856,4.087691998730413,1.7289133068703662,8.341347244317129,0.7244772229291878,0.6585087387174594,0.6995327984560041,1.0688309400716982,1.0920854535714524,1.227668341528515,0.6227195502922886,0.5653779640003973,2.8426348264584598,0.8154537356582715,0.7555243934966656,44692081.29976552,3337272.792318422,7488980.683035569,2007082.3694903832,32749545.236188084,18081251.00017001,39847040.9217979,16237240.900973832,1501922.501645213,4.280052645054899,4.5594377006714835,5.452508342775691,675.691964182206,7713.07462908043,2424.7024640119207,9501.299585965557,3.4727447254156396,1.6027120205612908,7.0759249417559325,6.021245074445321,10.059871416067075,931.855242236873,11.656198728292873,1.391300179647997,1008.1381103471019,792.7262159548424,950.2919959490728,945.5811674676117,2.4991792668042936,0.6183804060354205,0.46844185187085585,0.28042421614751933,0.6200483629801223,1.1617026656007294,0.4953177318404688,0.6521224539154223,0.5949917477392728,0.3575542419980857,1.0190615075060383,0.763521451162647,0.6203059184332445,0.5504881846159124,0.7524002442560686,0.7078059628959429,0.21358826711714807,0.14152554389457145,0.3708260439597714,0.48517561407610915,0.4745778724636115,0.5038125507031637,41858.321896180496,44534.97549519378,61900.62805125639,37435.68069297633,125981.6712097453,16728.248076376636,110343.07541007848,12571.16695687639,41202.67040364637,24200.858510688646,46880.69161206345,34786.27341416379,7625.044775317523,13135.754861910977,37403.20150162489,10816.30249171059,31910.547342598005,20349.781285301025,6725.778196144624,738.1750231022831,1015.5876369867059,64.76053374866177,103452303.54191397,2680.00087757438,823.5277405399748,756.8954482336835,815.7428216285053,807.4938620964455,17.99772360483569,651.0172387274043,832.1706905718166,842.2331287980646,759.9973766811138,21.413541636380113,768.6463354889684,845.3002981199235,16.883364897065213,755.3932553057692,815.3639289643087,783.1106268239432,192.53728875987034,844.1407392613643,1058.0442911892046,969.0986205246867
20,0.4954480286296699,0.7927145833816474,0.2541432349415033,0.6043009562963033,1.0188337104759637,0.7525153084371438,59.288554817072274,43.81441206649075,4.141795892640999,1.7738524870483419,8.39773666867769,0.7752378385011941,0.7051740199102585,0.7587496094457209,1.1535806673033593,1.1388147874067123,2.3140784015587057,0.6699025415411677,0.6097890770496732,2.8858055226887025,0.8754695475391604,0.8225076635692375,44658837.14447807,3277634.52649334,7444632.1600807225,1998225.3706885637,32600742.33211162,18193478.067765247,39726778.506345175,16101185.585532777,1493949.548562169,4.403510657149294,4.594497354610016,5.456762191460122,1351.3627464408767,15425.987485990836,4849.377523873389,19002.21304472833,3.754413250582474,2.738696139194785,7.272444123800444,5.998873621835355,19.754637166617727,881.2429543499602,11.037310768799282,1.3887352059963365,957.924945474292,751.2024046000089,904.3680195467682,898.8823863863182,16.752954272974414,0.854934518112011,0.5135911694963777,2.4242618089450083,0.9583164845003113,1.2231037138213772,0.7154086480922958,0.9767715299556026,0.795455568386813,0.5780339262856149,1.1506645450443105,0.965688256609145,0.795403782024301,0.86822742908455,1.3289522573913541,1.0440675445066039,0.6745960666449894,1933.4380980476558,0.6526136122678614,1.1460562986657457,0.9647265487555914,1.0809969167507834,43484.38736568293,46269.24299296743,64237.56682656542,38866.27909013995,126893.24693726852,16850.645512231535,114691.69012408017,13030.18524619819,42734.3782953042,25132.963034712793,48747.11042957556,36110.01627248302,7910.805355515229,13609.833129219349,38806.71111239151,10895.064056658404,32137.530623877745,21096.611305216502,6959.264137870476,761.3232469549674,1047.9945500424726,65.79797078593127,104230309.39618295,15407.739653222721,776.8366581427463,711.8367105891311,771.9575899082877,760.6018609527608,18.025088326773144,596.3185613038984,784.9345016095124,795.930807656298,714.4928452447134,21.7992485946232,724.4407101359648,799.979714877454,16.897666043858806,711.5297891886679,770.7857784056026,741.9792351648213,181.5501394565414,799.496532651791,1106.5691286863512,925.1557113296082
21,0.5154201696872832,0.8133377986172167,0.2562092968808367,0.6499149810119648,1.0819084876579739,0.8069919509195256,59.33022703213324,43.97505394658952,4.175950913103783,1.8237351692505777,8.460212163173496,0.8339847902998215,0.7432113575158567,0.840004451223732,1.2689657394893086,1.1899454158403995,2.4198330524704916,0.7214489969446752,0.6667574566802131,2.9324322785183146,0.9389376022325487,0.8951438585680589,44637268.948869385,3238737.787152207,7416463.340276583,1993288.2966538025,32511475.09741427,18217989.396955464,39647498.912395895,16007660.864675775,1488668.038091064,4.534959534933567,4.638297925331611,5.464645560459201,2027.0336678087488,23138.91131324965,7274.048667251567,28503.141815459534,4.042173703915556,3.8785101874113286,7.4793581112581915,5.984783274557423,29.428855090712094,831.4421157990924,10.2015640116865,1.3849080251296826,908.8351380472911,700.2085748301078,851.612693773558,850.5377617618233,0.08291283119005001,0.176757308015546,0.12099027570891273,0.43050265338068117,0.12682603639646994,0.11236389046858093,0.11224390768223146,0.1416761654746173,0.08397660704180082,0.11365431346377709,0.12605925611495064,0.12672214963950662,0.08084823021795612,0.13293996654206333,0.14406807929609217,0.12634078730677145,0.16971921090784864,2.0460930567361837,0.09681552855609664,0.15475301830212398,0.09373742969581438,0.09787332088874226,42191.94487173458,44929.47115694379,62365.93285012045,37744.75816314836,127074.31734380659,16845.807157651936,111319.23386721086,12655.570053345029,41490.695204873395,24407.61945839633,47272.80941368993,35067.78727200291,7680.349238704052,13224.875939603724,37675.175111870034,10889.698810568223,32141.19752280714,20481.862534684395,6770.610535129756,743.0775502344117,1023.556190594152,64.8981649226663,104695866.26043236,28018.496597309484,732.2954446965613,660.1232188392911,724.0834487009573,715.0733691190767,17.796909707745222,546.8947001045378,738.9060174354166,752.5338435295332,671.717502669039,21.459059809555402,680.7388179183305,755.1593326752645,16.95054445077667,670.9947452740173,726.7967241185953,693.9023284600282,170.48512859470156,752.1371175708495,900.8342499631572,880.4851537114805
22,0.5414009205981785,0.8394343205034787,0.2583145217711734,4.124936283121195,3.190677793978321,2.6331505174982146,59.59361579393033,46.33029845870809,4.236424357026332,4.563137159737015,9.397075634317128,4.156162805004953,3.148356419121356,3.589244071169896,3.215017743986142,3.142422305561196,4.59914719045732,3.685976752180821,4.299653697434416,5.369032025881262,2.108047869054086,1.597540285963672,44620807.59531352,3206828.541261391,7394696.124943837,1989819.388376913,32449305.196019977,18276581.440722197,39587594.09716655,15932403.941211956,1484941.2162099022,4.794033721925637,4.843335055620981,5.634380168916231,2702.7366636169013,30851.88421820497,9698.749336702263,38004.09402051239,4.434410042108054,5.089567938462805,7.713268351856099,6.119283507767076,39.13080355389086,782.0899348829437,9.363863516355364,1.3798286587346338,859.7884385344921,649.9591626094572,798.9095975247599,802.4852966333007,86.6593138599925,129.65012447715458,156.6529015292532,43.463934319944585,6033.14201109646,50.41022326625229,48.30957434687508,3605.206097448137,26.63300637902051,494.5093171377454,34.22419479423485,27.536871043630427,26.48187904797374,287.653943859907,86.70881690697648,43.78661228675102,44.48572109098651,29.31617327609564,3688.0298860770745,13.474740914673692,190.74995743996874,105.88632394961542,42498.31136944975,45263.6879431491,64699.389813999136,38019.89690951398,128545.13439431968,17054.582954842765,115072.71782689686,13100.579247673442,43009.73319314982,24580.860462425277,48954.027532498476,35366.01440002512,7766.096139896521,13626.891109572347,37964.92290749174,11002.803098780063,32791.14639788403,20951.08865103416,6845.05923981015,761.641446675262,1048.7601897871918,66.27852124777725,105173743.06629507,40679.81740681078,686.1197740188352,610.4273112225358,679.3023118809275,669.7439048599178,17.94764496716776,495.10825737445913,692.9282782045174,707.9629354592249,628.6084599878735,20.51127164911125,636.0681822608398,709.6479044006085,17.055613936335746,630.652208053267,683.5960051824648,646.6823224242281,159.8405351062074,704.8898503111106,704.7510912592423,833.607802044665
23,0.6723131322807413,1.2801991875674585,0.29586697745521034,7.086931353088383,5.885026094114417,5.880312656591898,59.823977646165986,48.82561421406199,4.626155114568176,8.139891753288007,10.323725003549544,7.433727386494843,5.670970157848849,6.912192089696246,5.351314716683714,6.443039925693155,7.642991698835974,7.096829251710842,7.302101133009207,8.39013502713526,4.23926599544816,3.487641503910006,44591928.65623353,3146351.6510306243,7355334.850842529,1981935.3767991404,32320686.23931055,18278939.792623483,39485897.77125657,15809141.874641677,1478645.0509982195,5.052168421246548,5.047077353109731,5.796077160855745,3378.441170992282,38564.85729736962,12123.450792943157,47505.048002994,4.826145531324986,6.300223770359217,7.944157521722694,6.2535433684016315,48.83215136378023,733.024758896379,8.576942588822083,1.3638909064128002,810.3769253120408,597.9229052602143,745.9000271185962,754.0850733736975,127.23707658624319,185.26518060900264,190.2216818644157,11.238418704026028,6040.135283693288,9.63304128673865,18.042390027756817,3607.33455156435,5.22056736915901,516.5964654226818,10.589985475476839,11.852068029514548,5.1153808016088815,289.19393035430267,73.39952266378606,18.971763791224028,35.800605411514006,35.88676024623685,3697.1195894146026,20.52485041690691,195.05908817034248,108.73470040349966,42133.35378993407,44823.69728324113,62286.314612436676,37655.10924271221,126904.90199484222,16814.638315148724,111081.77535647614,12661.943135357455,41412.81052488172,24360.0469621202,47214.34880587207,35022.555468943596,7683.244556858277,13222.570843072936,37616.18398315329,10885.202751386167,32595.58033205638,20458.221465412113,6760.78512840885,750.4758166946588,1030.6062005252859,65.69809563060096,105625100.84442827,53362.247676275736,640.5939291386326,557.9862311615169,632.8545381405626,624.5720653491484,17.746772263221562,441.8899485349217,647.2867262670486,663.130696116069,585.5968723252623,20.016361876897754,591.6766388354656,662.4973928717712,17.120673915995212,590.1284125566312,639.7160702127494,598.8079438657586,149.26616783161703,657.3374441891727,498.488210801724,785.3763232607631
24,0.805054772267021,1.7422642751012423,0.3335144338201873,10.859738916994026,9.494565844143137,9.64371889454542,60.08258592502764,56.866536391364534,5.09291098258405,21.04324567243594,11.76569718006909,11.449536073062399,8.370197836299605,10.232351220111928,7.830852004944309,12.084046872684098,11.358271413732702,11.290574809974412,10.506402327951994,16.926882640678542,6.589205607949643,5.52630351030467,44624845.20493332,3229128.937202963,7400531.50631031,1994496.8145184193,32605975.287462417,18445288.86092454,39622614.882512435,15910470.347728098,1485615.4144585636,5.304621796526117,5.244574051739855,5.952060730970796,4054.1396311496433,46277.825444852555,14548.152568921605,57005.99251450182,5.212511878693033,7.507773456017312,8.171554613580856,6.374977840899882,58.530857233042255,684.3448664311903,8.101376681517188,1.3352765051914717,759.9093787071944,566.8818778316153,704.6190161183855,708.7708872342885,571.0962814540527,784.7400325275352,533.7657944504259,2943.0610215351217,18714.449978651548,3962.437360443834,114.3765856880857,21395.332536791706,1335.1450087353053,886.7934169008944,7591.7262954503785,2288.6094302581637,824.0643174115396,2880.743816115766,426.63797706266257,1548.7858349675387,1390.6359578557447,221.49960167570595,5475.455605714398,32.02313942223587,364.722724216389,203.4045200602833,42029.17818575885,44654.99796839261,64686.87815921204,37549.2799928369,129448.14713760736,16818.061624083442,115200.11435393582,13113.237263342291,43049.11801586952,24405.357439876934,48962.644595067744,34909.05998400503,7661.931547104628,13649.407141422073,37592.18748568229,11210.424728837621,32870.28569394768,20885.280862929023,6741.866940562814,759.1627825171898,1043.8504391784845,66.28891056503959,106442971.65530959,66387.31232163076,596.8642262932573,527.2149858106527,593.1380612306295,578.7544497882565,17.82625588421078,383.6938153110609,601.6160205508671,618.1752238020596,540.4002560216923,21.461420079041478,545.5429086104001,623.1102658602069,17.241909106132038,545.4601549637277,595.1508351405301,564.7004289107844,139.24739831646502,616.0227067681562,928.653075426128,735.7076423085236
