,161 ramp_up,165 ramp_up,174 ramp_up,177 ramp_up,178 ramp_up,179 ramp_up,183 ramp_up,186 ramp_up,187 ramp_up,191 ramp_up,196 ramp_up,198 ramp_up,279 ramp_up,288 ramp_up,291 ramp_up,294 ramp_up,297 ramp_up,300 ramp_up,309 ramp_up,316 ramp_up,319 ramp_up
0,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,141.15132880736746,141.15132880736746,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715
1,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,49.371929917300804,49.371929917300804,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715
2,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,141.15089918543345,141.15089918543345,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715
3,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,141.15136854029697,141.15136854029697,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715
4,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,141.1516938413588,141.1516938413588,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715
5,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,141.15211350267236,141.15211350267236,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715
6,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,105.86471050897671,105.86471050897671,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715
7,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,141.1261479461882,141.1261479461882,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715
8,101.74950493962388,101.74958715732464,101.74951038922154,101.74950725435701,101.74954690527557,101.74954690527557,101.74951395097196,141.15227594343924,141.15227594343924,101.74961802150938,101.74948937161571,101.74956982764706,101.74950560487196,101.74950560487196,101.74950560487196,101.74950560487196,101.74950560487196,101.74950560487196,101.74950560487196,101.74950560487196,101.74950560487196
9,104.89463546975458,104.89474165879619,104.89464381810103,104.89463419804997,104.89465816898155,104.89465816898155,104.8946485989054,141.15209986798436,141.15209986798436,104.89476886025841,104.89462275795086,104.89455324568917,104.89463853638881,104.89463853638881,104.89463853638881,104.89463853638881,104.89463853638881,104.89463853638881,104.89463853638881,104.89463853638881,104.89463853638881
