,0 battery,0 pumped_hydro,1 battery,10 battery,11 battery,12 battery,12 pumped_hydro,13 battery,13 pumped_hydro,14 battery,14 pumped_hydro,15 battery,15 pumped_hydro,16 battery,17 battery,18 battery,19 battery,2 battery,20 battery,20 pumped_hydro,21 battery,22 battery,22 pumped_hydro,23 battery,23 pumped_hydro,24 battery,24 pumped_hydro,25 battery,25 pumped_hydro,26 battery,26 pumped_hydro,27 battery,28 battery,29 battery,29 pumped_hydro,3 battery,3 pumped_hydro,31613 battery,31638 battery,31672 battery,4 battery,4 pumped_hydro,6 battery,6 pumped_hydro,7 battery,7 pumped_hydro,8 battery,8 pumped_hydro,9 battery,9 pumped_hydro
0,18.579014265206055,11.16832087611227,2645.3557271461596,342.9205945333166,1439.9983565166967,15.040389795764419,7.780686450930634,2919.9178238174204,599.6072170490413,6597.135550274388,6012.399900622744,1080.596775933924,1781.466917199312,170.50184539075244,995.508232362,1054.1257326086263,676.4909972113725,2054.558224451459,10726.652432747074,955.3480854972839,1646.7953127737896,69.09242648478184,42.910553752466285,534.2895027432351,1090.5839277867722,627.7738385833574,2641.545513345982,28.456758704086138,21.998395407109374,870.9670304579281,1736.334787411612,230.43536488902103,22986.685673702763,23.947145333428825,13.474484876763755,57241.93206643343,10797.216860110986,11.507450851459335,16.06869693992067,6.943929017082471,4634.673224238523,1958.2563266481006,1780.6961251855582,3936.5846287918016,1033.4956227299342,224.98257111746565,77.54121952893937,20448.512612023504,3.9417840237404316,1.8024648233672542
1,24.50856575047948,17.167360138006238,12130.430821998341,1353.202933846928,2213.1033317159777,18.727671889525702,11.68680186353847,15530.41147355403,1842.8689454992202,6576.3689146025345,5980.201153850875,5762.787892633027,6441.271082512529,1007.513509896051,3486.750918962943,5620.303350207493,1736.5427566627168,12522.654145951243,14990.298067746597,1802.2936104553444,3027.731301850167,113.59248635198475,71.16268621584348,2013.7160931049173,3716.741642810688,5129.658575166978,11208.109697147995,1246.3829513253822,365.1671419048827,2749.0867240877988,5414.286733179182,1013.2342946436572,28343.262165576947,35.01895867784933,20.988507345968415,57056.99671680964,10796.833807405545,15.488623836019675,21.3349783788023,9.66317160225157,28042.705644114063,19296.077281014634,3749.551141364323,7938.0339357835965,2683.1222189115692,434.8659666579118,128.39781168337672,20467.45387478542,1.1046235985968105,2.442259907274011
2,1313.0234996482418,319.47920444490995,2987.6066615152477,1360.2394598413007,2216.570533807875,405.63378276362397,668.6984914617454,15616.874134846768,1899.8483612646905,91.00666115829813,114.9470308246298,5827.156653219133,6504.455172732406,634.4822221304544,4569.892865156293,5676.3568581104955,2487.616273353808,11506.045177715348,14995.618941820887,1807.6465827452437,3077.0853075841005,5529.522093779757,736.6927335186947,2048.955731450592,3740.3490654773686,5655.281829704784,11935.43365578815,6792.073300665032,1312.9756675880378,2787.8984021588735,5433.114372116565,1065.3550526209713,28347.871737563157,1925.8430637244555,80.46348489461562,56462.37818343029,10796.582355219984,58.782290009204985,104.80377175909067,18.824328830110346,22468.793677677564,15590.90732047093,3749.358901694432,7937.785795544629,3758.0815077902403,661.5189525088911,1144.8420354090051,26504.941639550456,1466.980390132386,1139.257091539873
3,6507.466362694536,959.0582881447658,12150.014200087311,1361.7264280277036,2220.4836796818236,2052.1637232075996,2350.760841244322,15660.276477040916,1931.000409777131,0.2741582681744564,1.7981353379050284,5832.629683626883,6508.900486526112,362.83937429623626,4523.5914166023385,5679.794527511403,2447.994823098176,15698.259685043555,15007.459682336917,1817.4786595655503,3238.7577914737767,6958.838650953525,1138.6131595894492,2062.4128217135617,3749.365700473361,5668.833459163134,11945.449310735366,6802.090580035763,1318.4255534773704,2846.88738698352,5457.18727761794,1067.0665350706017,28360.729569327756,9818.022470563728,166.74595188674917,56243.22530416589,10796.399652074131,121.1652434355095,249.04262706003945,30.5610385006265,15152.737784655836,10348.926262963094,2492.5624060081627,6067.093016544296,3679.602569663134,643.5819112993345,2026.4160619878535,28310.757495455477,8008.204780725692,4112.6646853137145
4,1200.7439681451922,958.8115118407791,1816.9298314039606,1309.3532094816558,432.16801439956623,2031.7105342558677,2350.7947046343675,14774.797290359023,1930.8585836535028,416.4706378499923,1.7210912904779985,5816.201827162452,6508.434501440602,0.003114127106011173,3170.6429482887575,5656.726665973173,1904.4572544403275,15447.725634273842,2743.8170679847603,1816.8616786247376,3067.405490313887,6916.616473424889,1138.6344826273626,402.7340292490629,3748.9728225660865,5548.899168433656,11945.178871497277,6732.743223350158,1278.669460823396,2830.4131838782628,5457.452766151108,965.6030725284127,4249.005436323168,2002.9966403657372,166.65468229424118,56157.13624870982,10796.57338959146,28.376172107719167,52.20724459524202,10.688599051443735,0.00528704045298609,0.009027245866012883,836.3899849796693,2340.4590771119456,2638.76837916812,535.7050932147976,2010.5298293472613,28311.251881799373,8021.477355978991,4124.824915491031
5,6507.6771628388515,959.6706532267042,2251.564597055956,1362.844804348523,2215.1886823634904,2052.4351038889745,2351.5745225295846,15660.342282654145,1931.4429801650072,0.30764518419522957,1.2608642469973455,5833.561053795812,6509.881184462519,0.050883592587654736,4613.160294335354,5680.875819412974,2533.7741950604527,15737.950958825939,14987.31256809417,1816.956428270773,3240.77001126181,6959.005881250931,1139.3721948971693,2062.6538167553904,3749.763726455403,5669.366952153336,11946.395502327307,6804.664730407524,1319.9473640856202,2845.9702289830984,5458.129202016699,1068.243066414791,5081.029017203907,9818.249306997812,167.47262365889634,56034.385467041466,10796.7897038786,121.38095416483888,249.3489685023369,30.76760356338178,0.005340726585613941,0.00461272654414295,3749.935846333186,7938.516524394331,3818.0378409893715,714.5354625439703,2026.6875969468144,28312.634822420016,8021.793432316332,4125.298811242038
6,6468.601531496152,959.4305728933308,2232.3696757266416,1329.7634717731555,2210.0262681298027,1994.3210592822081,2351.3656853525817,15616.654922606898,1931.2900170700264,1487.7261803791903,2330.3284395381293,5798.14766171147,6509.420930252424,837.0615183079067,4601.847300959508,5649.194875909093,2521.889255749997,15726.119293503785,14964.602685277367,1816.9962083092023,3220.6439583622605,6903.591058785206,1139.2567340911478,2031.3506780731148,3749.4327607723644,5634.813554572935,11945.950486252532,6780.016286571217,1319.5298383307038,2755.2164721544655,5458.300503786506,1038.0750359335952,5230.4114379957955,9770.949437141333,167.28868583774582,45720.560468653704,10797.096140548208,87.76998602058543,205.02149723917086,21.628861785592413,23408.01845162201,6912.686926239741,3732.0572020623963,7938.0597356227345,3797.1924493605334,714.1150038445267,1948.5419516836903,28312.59366959977,8001.200941866513,4124.990345303675
7,6508.039663922586,959.9943010676724,12150.142906101226,1362.9478736294748,2220.679993418867,2052.799180291168,2351.9936098380485,15660.916438006663,1931.9933637899999,8099.995202568843,8369.994763366594,5833.723031005998,6509.9908087441045,0.002558656285093601,4613.211325722401,5681.008299654268,2533.824546321744,15738.034459190298,15007.756169587756,1817.9928324379716,3240.9256148835966,6959.535769609837,1139.9942967723014,2062.9348983058776,3749.991164904879,5669.59459839632,11946.59027993395,6804.74358986547,1319.9889039344005,2848.349015805889,5459.993238897079,1068.334577459787,28361.140346673015,9818.702100452487,167.99454200759217,62594.79984710701,10799.992539610414,121.73057706545205,249.71979625193566,30.989828769572853,23172.528041733247,6651.154743864955,3749.992501644414,7938.590398335856,3818.1295163550703,714.5892471050157,2027.2224662827916,28313.991459756347,8022.021804826219,4125.59198937307
8,6507.767974660068,959.9452438461806,7332.465849030044,1362.4693629111018,2220.634376270823,2052.50939318118,2351.942093471618,15660.679534938403,1931.9401222729498,8099.250851013919,8369.952859818344,5833.3503151763,6509.919082094979,0.12358036936909582,4612.990567082852,5680.574790015858,1705.023730642991,14313.691402430275,15007.585088447364,1817.9403777933019,3240.779067377124,6959.255816173393,1139.9452672007576,2062.732631578461,3749.9294181728633,5669.308086764525,11946.516283358922,6803.607334829293,1319.9068754271798,2848.0736519460297,5459.941051202361,1067.8127634984146,28361.010895971114,9818.421566580675,167.95203873585797,62594.41597748529,10799.933230428995,121.45569465420384,249.43847960547433,30.788605227845647,3703.548202007608,4650.803396229686,3749.7366154458696,7938.519238762989,3817.8511107016157,714.5180483046198,2026.9358603893154,28313.913698708235,8021.764519037056,4125.53189412313
9,6506.052860840665,959.9367806110113,2288.7050550780673,1361.708012399016,2219.4158853662957,2050.5937779985893,2351.933904409612,15658.626180489895,1931.9306547956867,8094.997412730964,8369.940994589291,5832.120289974354,6509.909995689459,0.32305599286392434,4612.407467789022,5679.55054206614,1705.3493967422896,14313.993660797005,15005.046988922146,1817.9277726658338,3239.2787189110795,6957.123780446238,1139.9362431379375,2061.092221985242,3749.9169942339995,5667.83870973483,11946.50595774246,6803.62327049587,1319.9085596074192,2845.404128557949,5459.934182751858,1067.2496189920569,28358.176108786323,9816.450546499165,167.94535115159871,62591.730307020465,10799.932525333914,119.61648006132572,247.61141480683807,29.434351174250104,3703.498834015451,4650.658508506633,3749.0009750137638,7938.512084306203,3816.935290375034,714.5093409743026,2024.717241776391,28313.903035694202,8020.796900010728,4125.525196717149
