name,scn_name,bus0,bus1,carrier,p_nom,p_nom_extendable,p_nom_max,capital_cost,length,type,efficiency,p_nom_min,p_min_pu,marginal_cost,p_nom_opt,country,build_year,lifetime,min_up_time,min_down_time,up_time_before,down_time_before,p_nom_mod,stand_by_cost,start_up_cost,shut_down_cost,ramp_limit_start_up,ramp_limit_shut_down
26,eGon2035,11,70310,BEV_charger,988.4563981294632,False,inf,0.0,0.0,,0.9,0.0,0.0,0.0,988.4563981294632,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
27,eGon2035,11,77083,power_to_H2,0.0,True,inf,461.22415334238485,0.0,,0.7,0.0,0.0,0.0,168.6478356689407,,0.0,31.0,0.0,0.0,1.0,0.0,,,,,,
28,eGon2035,11,77106,central_heat_pump,2.6511536468868977,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,2.6511536468868977,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
29,eGon2035,11,77106,central_resistive_heater,0.522020698263732,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.522020698263732,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
30,eGon2035,12,43556,dsm,95.12555060585453,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,95.12555060585453,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
31,eGon2035,12,49625,central_heat_pump,5.233411327645027,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,5.233411327645027,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
32,eGon2035,12,49625,central_resistive_heater,6.9321797823384905,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,6.9321797823384905,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
33,eGon2035,12,52095,rural_heat_pump,545.5690958300436,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,545.5690958300436,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
34,eGon2035,12,69958,BEV_charger,1100.3875900506973,False,inf,0.0,0.0,,0.9,0.0,0.0,0.0,1100.3875900506973,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
35,eGon2035,12,77083,power_to_H2,0.0,True,7.0,461.22415334238485,0.0,,0.7,0.0,0.0,0.0,0.061472488966742435,,0.0,31.0,0.0,0.0,1.0,0.0,,,,,,
36,eGon2035,12,77086,central_heat_pump,7.107626621478402,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,7.107626621478402,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
37,eGon2035,12,77086,central_resistive_heater,4.073038725031355,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,4.073038725031355,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
38,eGon2035,13,41276,dsm,1076.5296334239476,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,1076.5296334239476,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
39,eGon2035,13,52069,rural_heat_pump,5142.469196265897,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,5142.469196265897,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
40,eGon2035,13,69931,BEV_charger,9503.019723951817,False,inf,0.0,0.0,,0.9,0.0,0.0,0.0,9503.019723951817,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
41,eGon2035,13,77083,power_to_H2,0.0,True,inf,461.22415334238485,0.0,,0.7,0.0,0.0,0.0,0.0765820462584044,,0.0,31.0,0.0,0.0,1.0,0.0,,,,,,
42,eGon2035,13,77090,central_heat_pump,126.07034570881277,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,126.07034570881277,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
43,eGon2035,13,77090,central_resistive_heater,116.67926835276522,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,116.67926835276522,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
44,eGon2035,14,4,DC,0.0,True,0.0,872.9158267121838,542.4840827461112,,1.0,0.0,-1.0,0.010608893260563735,0.0,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
45,eGon2035,15,41544,dsm,252.7085222189702,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,252.7085222189702,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
46,eGon2035,15,48717,power_to_H2,0.0,True,inf,461.2241533423849,0.0,,0.7,0.0,0.0,0.0,0.13727403121767207,,0.0,31.0,0.0,0.0,1.0,0.0,,,,,,
47,eGon2035,15,50808,central_heat_pump,0.848655289165275,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.848655289165275,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
48,eGon2035,15,50808,central_resistive_heater,1.1016747782832632,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,1.1016747782832632,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
49,eGon2035,15,52059,rural_heat_pump,2257.4253685036465,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,2257.4253685036465,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
50,eGon2035,15,69914,BEV_charger,3837.2727748155594,False,inf,0.0,0.0,,0.9,0.0,0.0,0.0,3837.2727748155594,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
51,eGon2035,15,77083,power_to_H2,0.0,True,inf,461.22415334238485,0.0,,0.7,0.0,0.0,0.0,0.14884752682726737,,0.0,31.0,0.0,0.0,1.0,0.0,,,,,,
52,eGon2035,15,77096,central_heat_pump,109.13025574287919,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,109.13025574287919,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
53,eGon2035,15,77096,central_resistive_heater,104.25151246732958,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,104.25151246732958,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
